Cid,TimeStamp,Value,MessageId
XE.D3.F5.6D.15.C6,2022-01-03T15:00:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T16:40:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T17:30:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T18:50:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T19:20:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T20:50:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-04T08:00:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-04T09:50:00.123456Z,Occupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-04T10:20:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-04T11:10:00.123456Z,Occupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-04T11:20:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-04T11:40:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-04T12:10:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-04T13:40:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-04T13:50:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-04T14:35:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-04T15:20:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-04T17:00:00.123456Z,Offline,MessageIdData
X9.F4.C5.B5.93.00,2022-01-04T17:45:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-04T19:15:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-04T19:55:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-04T21:45:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-05T08:00:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-05T08:10:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-05T08:55:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-05T10:15:00.123456Z,UnOccupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T10:25:00.123456Z,UnOccupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T10:55:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-05T11:40:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-05T12:10:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-05T12:30:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-05T13:20:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T14:00:00.123456Z,UnOccupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T15:45:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T16:05:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-05T17:35:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-05T18:20:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-05T19:30:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-05T19:40:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-05T20:10:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T08:00:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T09:30:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-06T10:20:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-06T11:30:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T11:40:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T13:20:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-06T14:05:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-06T15:15:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T16:05:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T17:25:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T18:05:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-06T18:55:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-06T19:25:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-06T21:10:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-07T08:00:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-07T08:30:00.123456Z,Occupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-07T09:10:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-07T10:40:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-07T11:25:00.123456Z,Occupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-07T11:45:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-07T12:35:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-07T14:15:00.123456Z,Offline,MessageIdData
X9.F4.C5.B5.93.00,2022-01-07T14:45:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-07T15:35:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-07T15:45:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-07T17:35:00.123456Z,Offline,MessageIdData
X9.F4.C5.B5.93.00,2022-01-07T18:15:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-07T18:25:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-07T19:15:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-07T20:45:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T08:00:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T08:45:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-10T08:55:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-10T09:05:00.123456Z,Offline,MessageIdData
X0.E0.81.66.05.77,2022-01-10T09:55:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-10T10:15:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-10T11:00:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-10T11:45:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T11:55:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T13:45:00.123456Z,Offline,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T13:55:00.123456Z,Offline,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T15:40:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T16:20:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T17:40:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-10T17:50:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-10T18:20:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T19:10:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T20:55:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T08:00:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T09:45:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-10T10:25:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-10T12:15:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-10T12:25:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-10T13:45:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T14:25:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-10T16:15:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T16:45:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T18:05:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T18:25:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T19:10:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T19:40:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T20:20:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-10T08:00:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-10T09:45:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T10:30:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T12:20:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T12:30:00.123456Z,Offline,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-10T12:40:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T13:20:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-10T15:00:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-10T15:50:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-10T16:10:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-10T16:30:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-10T18:20:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-10T18:30:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-10T20:15:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-11T08:00:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-11T08:20:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-11T09:05:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-11T10:35:00.123456Z,Occupied,MessageIdData
EC.64.40.67.09.2D,2022-01-11T11:25:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-11T12:10:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-11T13:00:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-11T14:30:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-11T14:50:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-11T16:10:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-11T16:20:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-11T17:50:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-11T18:35:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-11T18:45:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-11T19:05:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-11T19:45:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-12T08:00:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-12T09:20:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-12T09:50:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-12T10:00:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T10:30:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T11:50:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T12:20:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T14:00:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-12T14:20:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-12T15:40:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T16:20:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-12T17:05:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-12T17:55:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-12T19:25:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-12T19:45:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-12T20:25:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-13T08:00:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-13T09:50:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-13T10:35:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-13T11:55:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-13T12:40:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-13T13:50:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-13T14:00:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-13T15:50:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-13T16:10:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-13T17:40:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-13T17:50:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-13T18:35:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-13T18:55:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-13T20:40:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T08:00:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T09:20:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-14T09:40:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-14T10:50:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-14T11:20:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-14T12:05:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T12:25:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T14:15:00.123456Z,Offline,MessageIdData
X0.E0.81.66.05.77,2022-01-14T15:05:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-14T15:35:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-14T16:15:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-14T17:45:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T18:25:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-14T19:05:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-14T19:25:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-14T19:55:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-17T08:00:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-17T08:10:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T08:50:00.123456Z,Offline,MessageIdData
X0.E0.81.66.05.77,2022-01-17T09:10:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T09:50:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T10:30:00.123456Z,Occupied,MessageIdData
EC.64.40.67.09.2D,2022-01-17T11:15:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-17T12:45:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T13:25:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T14:55:00.123456Z,N/A,MessageIdData
X0.E0.81.66.05.77,2022-01-17T15:35:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T17:25:00.123456Z,Occupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-17T17:55:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-17T18:40:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T19:10:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T20:20:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-17T08:00:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-17T08:30:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-17T08:50:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-17T10:35:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-17T11:15:00.123456Z,Offline,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-17T12:05:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T12:50:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T13:00:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T13:45:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T14:55:00.123456Z,Occupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T15:15:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T16:55:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T17:40:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T17:50:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-17T18:40:00.123456Z,Occupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-17T19:25:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T19:55:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T20:45:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T08:00:00.123456Z,UnOccupied,MessageIdData
X0.E0.81.66.05.77,2022-01-17T08:50:00.123456Z,Occupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T09:20:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T10:10:00.123456Z,UnOccupied,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T10:50:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-17T12:35:00.123456Z,Occupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-17T13:25:00.123456Z,Occupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-17T15:15:00.123456Z,Occupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-17T15:35:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-17T16:55:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T17:25:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-17T17:55:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T18:40:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-17T20:20:00.123456Z,Occupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-18T08:00:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-18T08:45:00.123456Z,Offline,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-18T09:35:00.123456Z,Offline,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-18T09:45:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-18T10:25:00.123456Z,Occupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-18T11:55:00.123456Z,Offline,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-18T12:40:00.123456Z,N/A,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-18T13:50:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-18T14:30:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-18T15:50:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-18T16:30:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-18T17:15:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-18T18:05:00.123456Z,UnOccupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-18T18:50:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-18T19:30:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-18T21:10:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-19T08:00:00.123456Z,UnOccupied,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-19T08:30:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-19T09:15:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-19T11:00:00.123456Z,Occupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T11:45:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T11:55:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-19T12:05:00.123456Z,Offline,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-19T12:25:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-19T12:35:00.123456Z,Offline,MessageIdData
XA.6F.2A.5D.84.96,2022-01-19T13:15:00.123456Z,Occupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T13:35:00.123456Z,N/A,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T14:05:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-19T14:45:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-19T15:25:00.123456Z,Occupied,MessageIdData
EC.64.40.67.09.2D,2022-01-19T16:05:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-19T16:45:00.123456Z,Offline,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T17:25:00.123456Z,Offline,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-19T17:55:00.123456Z,Offline,MessageIdData
